,primary,secondary
0,hellhole,zombies
1,perp,rappers
2,mossad,villages
3,rub,hungarians
4,denier,hypocrites
5,hogan,greens
6,nasty,muslims
7,lunatic,israelis
8,cuckservative,bulgarians
9,asshole,googles
10,rumor,alt-lite
11,orleans,psychopath
12,male,entities
13,kook,crooks
14,misogynist,slavs
15,primitive,operatives
16,moron,genders
17,commie,subhumans
18,emma,snakes
19,lamb,african-americans
20,pig,gangsters
21,female,dems
22,anglo-saxon,castro
23,implication,boomers
24,colin,liberals
25,debbie,cucks
26,prick,groom
27,coward,libtard
28,homo,weirdo
29,surge,innocents
30,hampshire,thieves
31,hypocrite,capitalists
32,fuhrer,sham
33,prog,moslems
34,weasel,greeks
35,paedophile,transgenders
36,neocon,saudis
37,mitch,educators
38,mutant,idiots
39,clown,savages
40,retardation,hippies
41,dumbass,normies
42,boomer,scholars
43,wench,banksters
44,dummy,albanians
45,unaccompanied,creatures
46,mulatto,skinheads
47,negress,pedo
48,loser,billionaires
49,gentile,rangers
50,cuck,travellers
51,marine,punk
52,bastard,leftists
53,pedophile,neocons
54,bigot,agitators
55,,clowns
56,,non-whites
57,,flier
58,,skypes
59,,kebabs
60,,joker
61,,progressives
62,,garrison
63,,organisms
64,,demon
65,,shitlibs
66,,brits
67,,massacre
68,,mormons
69,,globalists
70,,beta
71,,swedes
72,,prostitutes
73,,fascists
74,,moderates
75,,bloke
76,,nationalities
77,,gentleman
78,,perverts
79,,podcasts
80,,haley
81,,sodomites
82,,crazies
83,,cows
84,,specialists
85,,youngsters
86,,hindus
87,,feminists
88,,fools
89,,pigs
90,,frogs
91,,foreigners
92,,misdemeanor
93,,antifas
94,,lunatics
95,,cuckservatives
96,,apps
97,,scumbags
98,,barbarians
99,,hipster
100,,consultants
101,,newcomers
102,,moms
103,,bigots
104,,neo-cons
105,,professions
106,,prisoners
107,,westerners
108,,territories
109,,marchers
110,,parasites
111,,goyim
112,,southerners
113,,mexicans
114,,fanatics
115,,non-jews
116,,clergy
117,,drones
118,,shoppers
119,,angles
120,,muhammed
121,,economists
122,,soviets
123,,patriarch
124,,slut
125,,sodomite
126,,culprit
127,,spaniards
128,,ugly
129,,assholes
130,,anti-racist
131,,gibson
132,,armies
133,,frenchmen
134,,filmmaker
135,,miners
136,,brave
137,,pedophiles
138,,kurds
139,,culprits
140,,chickens
141,,deniers
142,,tyrants
143,,karen
144,,comedians
145,,cowards
146,,non-europeans
147,,somalians
148,,gentiles
149,,militias
150,,stickers
151,,homeowners
152,,lo
153,,romans
154,,factions
155,,normie
156,,dictators
157,,losers
158,,canadians
159,,capitals
160,,cockroaches
161,,monsters
162,,granny
163,,aryans
164,,ideologues
165,,witches
166,,armenians
167,,illegals
168,,beasts
169,,psychopaths
170,,arabs
171,,rats
172,,afrikaners
173,,shithole
174,,communists
175,,islanders
176,,badass
177,,shells
178,,latinos
179,,toddlers
180,,libtards
181,,homos
182,,bastards
183,,doll
184,,romanians
185,,demons
186,,libs
187,,bloggers
188,,afghans
189,,mestizos
190,,anti-whites
191,,scumbag
192,,businessmen
193,,morons
194,,ukrainians
195,,jersey
196,,alles
197,,cannabis
198,,potatoes
199,,eagles
200,,stat
201,,homosexuals
202,,progs
203,,lions
204,,oligarchs
205,,lena
206,,commies
207,,villains
208,,felons
209,,reince
210,,freaks
211,,poles
212,,transgender
213,,wrong
214,,antifa
215,,territory
216,,crazy
217,,monster
218,,snake
219,,witch
220,,capital
221,,fool
222,,rat
223,,globalist
224,,fo
